address,addressCity,addressState,addressStreet,addressZipcode,area,availabilityDate,badgeInfo,baths,beds,brokerName,countryCurrency,detailUrl,has3DModel,hasAdditionalAttributions,hasImage,hasVideo,hdpData,id,imgSrc,info1String,info3String,isFeaturedListing,isHomeRec,isSaved,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,latLong,list,pgapt,price,providerListingId,relaxed,sgapt,shouldShowZestimateAsPrice,statusText,statusType,unformattedPrice,variableData,zestimate,zpid,builderName,hasOpenHouse,openHouseDescription,openHouseEndDate,openHouseStartDate,streetViewMetadataURL,streetViewURL,lotAreaString,isPropertyResultCDP
"143 Walnut St NW, Atlanta, GA 30314",Atlanta,GA,143 Walnut St NW,30314,1405.0,,,2.0,4.0,RE/MAX Metro Atlanta Cityside,$,https://www.zillow.com/homedetails/143-Walnut-St-NW-Atlanta-GA-30314/35889872_zpid/,0.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 35889872, 'streetAddress': '143 Walnut St NW', 'zipcode': '30314', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.75854, 'longitude': -84.40611, 'price': 435000.0, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 1405.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 435000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 293000.0, 'lotAreaValue': 5113.944, 'lotAreaUnit': 'sqft'}}",35889872,https://photos.zillowstatic.com/fp/0eaa5b4dc6f9930c7f53692849eb1b51-p_e.jpg,MLS ID #7176615,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.75854, 'longitude': -84.40611}",1.0,ForSale,"$435,000",,0.0,For Sale (Broker),0.0,House for sale,FOR_SALE,435000.0,"{'type': 'TIME_ON_INFO', 'text': '6 hours ago', 'data': {'isFresh': False}}",,35889872,,,,,,,,,
"650 Simmons St NW, Atlanta, GA 30318",Atlanta,GA,650 Simmons St NW,30318,1483.0,,,3.0,3.0,RE/MAX Metro Atlanta Cityside,$,https://www.zillow.com/homedetails/650-Simmons-St-NW-Atlanta-GA-30318/35833599_zpid/,0.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 35833599, 'streetAddress': '650 Simmons St NW', 'zipcode': '30318', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.772484, 'longitude': -84.420456, 'price': 410000.0, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1483.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 410000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 84800.0, 'lotAreaValue': 6298.776, 'lotAreaUnit': 'sqft'}}",35833599,https://photos.zillowstatic.com/fp/dfd0f914c0c807515c0122b00ff359cc-p_e.jpg,MLS ID #7174656,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.772484, 'longitude': -84.420456}",1.0,ForSale,"$410,000",,0.0,For Sale (Broker),0.0,House for sale,FOR_SALE,410000.0,"{'type': 'TIME_ON_INFO', 'text': '6 hours ago', 'data': {'isFresh': False}}",,35833599,,,,,,,,,
"1150 Hubbard St SW, Atlanta, GA 30310",Atlanta,GA,1150 Hubbard St SW,30310,,,,0.0,,"Real Time Realty Of Georgia, LLC.",$,https://www.zillow.com/homedetails/1150-Hubbard-St-SW-Atlanta-GA-30310/35891070_zpid/,0.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 35891070, 'streetAddress': '1150 Hubbard St SW', 'zipcode': '30310', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.723534, 'longitude': -84.40222, 'price': 265000.0, 'bathrooms': 0.0, 'homeType': 'MULTI_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 261700, 'rentZestimate': 1691, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 265000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 249800.0, 'lotAreaValue': 5924.16, 'lotAreaUnit': 'sqft'}}",35891070,https://photos.zillowstatic.com/fp/bdc43277486c935472e60ce213608422-p_e.jpg,MLS ID #7178170,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.723534, 'longitude': -84.40222}",1.0,ForSale,"$265,000",,0.0,For Sale (Broker),0.0,Multi-family home for sale,FOR_SALE,265000.0,"{'type': 'TIME_ON_INFO', 'text': '7 hours ago', 'data': {'isFresh': False}}",261700,35891070,,,,,,,,,
"2839 The Fontainebleau SW, Atlanta, GA 30331",Atlanta,GA,2839 The Fontainebleau SW,30331,1792,,,2.0,3,PalmerHouse Properties,$,https://www.zillow.com/homedetails/2839-The-Fontainebleau-SW-Atlanta-GA-30331/35869024_zpid/,0.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 35869024, 'streetAddress': '2839 The Fontainebleau SW', 'zipcode': '30331', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.679356, 'longitude': -84.48844, 'price': 365000.0, 'datePriceChanged': 1676707200000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1792.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 359864, 'rentZestimate': 1749, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$4,000 (Feb 18)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 365000.0, 'priceChange': -4000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 246500.0, 'lotAreaValue': 0.42600000000000005, 'lotAreaUnit': 'acres'}}",35869024,https://photos.zillowstatic.com/fp/d643c45a0496eb1d05d9f480473334a6-p_e.jpg,MLS ID #7178175,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.679356, 'longitude': -84.48844}",1.0,ForSale,"$365,000",,0.0,For Sale (Broker),0.0,House for sale,FOR_SALE,365000.0,"{'type': 'TIME_ON_INFO', 'text': '7 hours ago', 'data': {'isFresh': False}}",359864,35869024,,,,,,,,,
"3235 Roswell Rd NE UNIT 408, Atlanta, GA 30305",Atlanta,GA,3235 Roswell Rd NE UNIT 408,30305,980,,,1.0,1,Ansley Real Estate | Christie's International Real Estate,$,https://www.zillow.com/homedetails/3235-Roswell-Rd-NE-UNIT-408-Atlanta-GA-30305/55018912_zpid/,0.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 55018912, 'streetAddress': '3235 Roswell Rd NE UNIT 408', 'zipcode': '30305', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.843796, 'longitude': -84.37856, 'price': 399000.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 980.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 338100, 'rentZestimate': 1930, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 399000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 317200.0, 'unit': 'Unit 408', 'lotAreaValue': 980.1, 'lotAreaUnit': 'sqft'}}",55018912,https://photos.zillowstatic.com/fp/bf72bb72a61213900bd106656fa5699b-p_e.jpg,MLS ID #7178187,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.843796, 'longitude': -84.37856}",1.0,ForSale,"$399,000",,0.0,For Sale (Broker),0.0,Condo for sale,FOR_SALE,399000.0,"{'type': 'TIME_ON_INFO', 'text': '7 hours ago', 'data': {'isFresh': False}}",338100,55018912,,,,,,,,,
"988 Forrest Cir SE, Atlanta, GA 30354",Atlanta,GA,988 Forrest Cir SE,30354,1075,,,2.0,3,"First United Realty, Inc.",$,https://www.zillow.com/homedetails/988-Forrest-Cir-SE-Atlanta-GA-30354/35875043_zpid/,0.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 35875043, 'streetAddress': '988 Forrest Cir SE', 'zipcode': '30354', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.669712, 'longitude': -84.35776, 'price': 299900.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1075.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 116100, 'rentZestimate': 1699, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 299900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 102100.0, 'lotAreaValue': 0.36, 'lotAreaUnit': 'acres'}}",35875043,https://photos.zillowstatic.com/fp/a27d8b35fa2734ed2867fe386cd929e2-p_e.jpg,MLS ID #7175099,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.669712, 'longitude': -84.35776}",1.0,ForSale,"$299,900",,0.0,For Sale (Broker),0.0,House for sale,FOR_SALE,299900.0,"{'type': 'TIME_ON_INFO', 'text': '7 hours ago', 'data': {'isFresh': False}}",116100,35875043,,,,,,,,,
"1105 Highland Bluff Dr SE #105, Atlanta, GA 30339",Atlanta,GA,1105 Highland Bluff Dr SE #105,30339,1462,,,2.0,2,"EXP Realty, LLC.",$,https://www.zillow.com/homedetails/1105-Highland-Bluff-Dr-SE-105-Atlanta-GA-30339/2071591440_zpid/,1.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 2071591440, 'streetAddress': '1105 Highland Bluff Dr SE #105', 'zipcode': '30339', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.889004, 'longitude': -84.45226, 'price': 310000.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1462.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'rentZestimate': 1710, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 310000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 105', 'lotAreaValue': 0.6693, 'lotAreaUnit': 'acres'}}",2071591440,https://photos.zillowstatic.com/fp/4c693f355d96e4cb41f800c61529914b-p_e.jpg,MLS ID #7177880,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.889004, 'longitude': -84.45226}",1.0,ForSale,"$310,000",,0.0,For Sale (Broker),0.0,Condo for sale,FOR_SALE,310000.0,"{'type': '3D_HOME', 'text': '3D Tour'}",,2071591440,,,,,,,,,
"1813 Gotham Way NE #9, Atlanta, GA 30324",Atlanta,GA,1813 Gotham Way NE #9,30324,2090,,,4.0,3,Toll Brothers Real Estate Inc.,$,https://www.zillow.com/homedetails/1813-Gotham-Way-NE-9-Atlanta-GA-30324/2059125867_zpid/,0.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 2059125867, 'streetAddress': '1813 Gotham Way NE #9', 'zipcode': '30324', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.807415, 'longitude': -84.37017, 'price': 772990.0, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 2090.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_newHome': True, 'is_openHouse': True}, 'openHouse': 'Sat. 2-5pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 772990.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1676757600000, 'open_house_end': 1676768400000}, {'open_house_start': 1676844000000, 'open_house_end': 1676854800000}]}, 'newConstructionType': 'NEW_CONSTRUCTION_TYPE_OTHER', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 9', 'lotAreaValue': 0.3, 'lotAreaUnit': 'acres'}}",2059125867,https://photos.zillowstatic.com/fp/3d65bdbb1b7bc741ca10b852894408f0-p_e.jpg,MLS ID #7177988,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.807415, 'longitude': -84.37017}",1.0,ForSale,"$772,990",,0.0,New Construction,0.0,New construction,FOR_SALE,772990.0,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 2-5pm'}",,2059125867,Toll Brothers,1.0,Open House - 2:00 - 5:00 PM,2023-02-18T17:00:00,2023-02-18T14:00:00,,,,
"800 Peachtree St NE APT 8512, Atlanta, GA 30308",Atlanta,GA,800 Peachtree St NE APT 8512,30308,852,,,1.0,1,Atlanta Fine Homes Sotheby's International,$,https://www.zillow.com/homedetails/800-Peachtree-St-NE-APT-8512-Atlanta-GA-30308/65462082_zpid/,0.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 65462082, 'streetAddress': '800 Peachtree St NE APT 8512', 'zipcode': '30308', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.776833, 'longitude': -84.38523, 'price': 269000.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 852.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 262900, 'rentZestimate': 1899, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 269000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 242300.0, 'unit': 'Apt 8512', 'lotAreaValue': 853.776, 'lotAreaUnit': 'sqft'}}",65462082,https://photos.zillowstatic.com/fp/07e0f6df9ff7612340f4939300c09723-p_e.jpg,MLS ID #7177786,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.776833, 'longitude': -84.38523}",1.0,ForSale,"$269,000",,0.0,For Sale (Broker),0.0,Condo for sale,FOR_SALE,269000.0,"{'type': 'TIME_ON_INFO', 'text': '7 hours ago', 'data': {'isFresh': False}}",262900,65462082,,,,,,,,,
"250 Pharr Rd UNIT 1509, Atlanta, GA 30305",Atlanta,GA,250 Pharr Rd UNIT 1509,30305,1003,,,2.0,2,Keller Williams North Atlanta,$,https://www.zillow.com/homedetails/250-Pharr-Rd-UNIT-1509-Atlanta-GA-30305/69377324_zpid/,1.0,1.0,1.0,0.0,"{'homeInfo': {'zpid': 69377324, 'streetAddress': '250 Pharr Rd UNIT 1509', 'zipcode': '30305', 'city': 'Atlanta', 'state': 'GA', 'latitude': 33.83736, 'longitude': -84.37862, 'price': 425000.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1003.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 425000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 317800.0, 'unit': 'Unit 1509', 'lotAreaValue': 1001.88, 'lotAreaUnit': 'sqft'}}",69377324,https://photos.zillowstatic.com/fp/4972494eba4ad5c0e8791552b1a72dfd-p_e.jpg,MLS ID #7177247,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 33.83736, 'longitude': -84.37862}",1.0,ForSale,"$425,000",,0.0,For Sale (Broker),0.0,Condo for sale,FOR_SALE,425000.0,"{'type': '3D_HOME', 'text': '3D Tour'}",,69377324,,,,,,,,,
